tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,2,24,195.77955853243833,0,0,0,0,0,0,0
1,9,1,160.41759142575816,0,0,0,0,0,0,0
2,3,18,103.64733457356436,0,0,0,0,0,0,0
3,17,9,214.58632851625543,0,0,0,0,0,0,0
4,31,23,122.67240997075285,0,0,0,0,0,0,0
5,30,6,181.41439305038705,0,0,0,0,0,0,0
6,21,20,189.1339335949889,0,0,0,0,0,0,0
7,12,20,205.0572120105726,0,0,0,0,0,0,0
8,2,12,121.0602917833947,0,0,0,0,0,0,0
9,20,27,205.18478040071355,0,0,0,0,0,0,0
