LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1674,0,0,0,0,0
1,0,3,1787,0,0,0,0,0
2,0,10,1908,0,0,0,0,0
3,0,20,1884,0,0,0,0,0
4,0,22,1843,0,0,0,0,0
5,0,23,1607,0,0,0,0,0
6,1,6,1621,0,0,0,0,0
7,2,3,1440,0,0,0,0,0
8,2,31,1204,0,0,0,0,0
9,3,27,1386,0,0,0,0,0
10,4,8,1992,0,0,0,0,0
11,4,7,1731,0,0,0,0,0
12,5,24,1517,0,0,0,0,0
13,5,25,1235,0,0,0,0,0
14,5,18,1905,0,0,0,0,0
15,6,21,1724,0,0,0,0,0
16,6,15,1945,0,0,0,0,0
17,7,15,1657,0,0,0,0,0
18,7,23,1871,0,0,0,0,0
19,8,33,1200,0,0,0,0,0
20,8,18,1635,0,0,0,0,0
21,9,18,1388,0,0,0,0,0
22,10,11,1148,0,0,0,0,0
23,10,14,1397,0,0,0,0,0
24,11,12,1156,0,0,0,0,0
25,12,23,1442,0,0,0,0,0
26,13,24,1933,0,0,0,0,0
27,13,32,1527,0,0,0,0,0
28,14,19,1736,0,0,0,0,0
29,14,23,1896,0,0,0,0,0
30,16,17,1719,0,0,0,0,0
31,16,18,1254,0,0,0,0,0
32,16,23,1948,0,0,0,0,0
33,17,19,1668,0,0,0,0,0
34,17,23,1848,0,0,0,0,0
35,20,21,1779,0,0,0,0,0
36,21,22,1132,0,0,0,0,0
37,23,31,1547,0,0,0,0,0
38,24,33,1696,0,0,0,0,0
39,24,31,1896,0,0,0,0,0
40,25,31,1129,0,0,0,0,0
41,26,27,1235,0,0,0,0,0
42,26,29,1682,0,0,0,0,0
43,27,28,1454,0,0,0,0,0
44,28,30,1914,0,0,0,0,0
45,29,30,1075,0,0,0,0,0
46,30,32,1477,0,0,0,0,0
47,30,31,1595,0,0,0,0,0
48,32,33,1470,0,0,0,0,0
