LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,1,1397,0,0,0,0,0
1,0,3,1477,0,0,0,0,0
2,1,6,1987,0,0,0,0,0
3,2,3,1713,0,0,0,0,0
4,2,21,1579,0,0,0,0,0
5,4,7,1483,0,0,0,0,0
6,5,8,1893,0,0,0,0,0
7,5,7,1740,0,0,0,0,0
8,6,7,1352,0,0,0,0,0
9,8,9,1943,0,0,0,0,0
10,8,10,1994,0,0,0,0,0
11,8,11,1093,0,0,0,0,0
12,9,12,1428,0,0,0,0,0
13,12,14,1220,0,0,0,0,0
14,13,14,1137,0,0,0,0,0
15,13,22,1743,0,0,0,0,0
16,15,16,1268,0,0,0,0,0
17,15,22,1427,0,0,0,0,0
18,16,17,1178,0,0,0,0,0
19,17,18,1616,0,0,0,0,0
20,18,20,1600,0,0,0,0,0
21,19,20,1521,0,0,0,0,0
22,19,21,1087,0,0,0,0,0
23,20,21,1557,0,0,0,0,0
