tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,NodeInclusions,antiFaultyType,MinBWReservation
0,9,22,122.70496750706945,0,0,0,0,0,0,0
1,14,10,124.33982310479601,0,0,0,0,0,0,0
2,22,14,175.73497402903115,0,0,0,0,0,0,0
3,17,9,178.91305228552295,0,0,0,0,0,0,0
4,7,6,206.0167200081989,0,0,0,0,0,0,0
5,20,6,143.40905548640973,0,0,0,0,0,0,0
6,19,15,199.0786267857929,0,0,0,0,0,0,0
7,7,0,171.37425109876511,0,0,0,0,0,0,0
8,18,12,175.86323014517703,0,0,0,0,0,0,0
9,15,14,113.84174068642253,0,0,0,0,0,0,0
10,8,13,129.61533967301654,0,0,0,0,0,0,0
11,22,10,189.58134883358264,0,0,0,0,0,0,0
12,4,19,158.60929963952142,0,0,0,0,0,0,0
13,1,21,100.6682357222783,0,0,0,0,0,0,0
14,15,10,128.35597257695628,0,0,0,0,0,0,0
15,19,20,155.4137639762419,0,0,0,0,0,0,0
16,13,2,138.95802977637808,0,0,0,0,0,0,0
17,4,12,164.58297347950207,0,0,0,0,0,0,0
18,5,19,131.30176720879865,0,0,0,0,0,0,0
19,3,17,178.5122354549001,0,0,0,0,0,0,0
20,1,2,105.01898578824844,0,0,0,0,0,0,0
21,16,9,131.0276569137151,0,0,0,0,0,0,0
22,21,10,155.45003820905174,0,0,0,0,0,0,0
23,12,9,160.69466520292875,0,0,0,0,0,0,0
24,6,9,156.2828458745375,0,0,0,0,0,0,0
25,20,14,180.87333257927781,0,0,0,0,0,0,0
26,1,3,215.02659759424975,0,0,0,0,0,0,0
27,21,15,147.94690416614498,0,0,0,0,0,0,0
28,0,9,139.54023294893656,0,0,0,0,0,0,0
29,11,14,103.20674642623243,0,0,0,0,0,0,0
30,15,21,168.11206533304286,0,0,0,0,0,0,0
31,12,11,169.46900404242933,0,0,0,0,0,0,0
32,19,6,130.0251273404954,0,0,0,0,0,0,0
33,18,17,205.1976770385744,0,0,0,0,0,0,0
34,2,18,187.8874398938646,0,0,0,0,0,0,0
35,6,21,162.98508220810174,0,0,0,0,0,0,0
36,21,22,120.10935750802588,0,0,0,0,0,0,0
37,17,2,120.96218749329837,0,0,0,0,0,0,0
38,10,4,146.3610190553755,0,0,0,0,0,0,0
39,4,13,102.86142343577491,0,0,0,0,0,0,0
40,16,4,125.43173237953859,0,0,0,0,0,0,0
41,10,19,173.98857993863783,0,0,0,0,0,0,0
42,16,2,146.92867723573903,0,0,0,0,0,0,0
43,5,2,112.44769231286276,0,0,0,0,0,0,0
44,14,2,109.98235138344555,0,0,0,0,0,0,0
45,11,21,181.86478562012394,0,0,0,0,0,0,0
46,13,14,193.39126965895173,0,0,0,0,0,0,0
47,16,2,149.7027624391952,0,0,0,0,0,0,0
48,18,14,115.59756184493799,0,0,0,0,0,0,0
49,15,4,131.96544797243536,0,0,0,0,0,0,0
50,20,16,183.68463173523963,0,0,0,0,0,0,0
51,6,14,152.6096199253122,0,0,0,0,0,0,0
52,17,12,123.68334364121455,0,0,0,0,0,0,0
53,6,3,128.53657943536666,0,0,0,0,0,0,0
54,7,19,109.04626870938094,0,0,0,0,0,0,0
55,5,13,184.83899851323443,0,0,0,0,0,0,0
56,19,10,214.3476805762231,0,0,0,0,0,0,0
57,4,8,225.1135016147535,0,0,0,0,0,0,0
58,8,2,164.68728312815554,0,0,0,0,0,0,0
59,17,18,108.43643150386228,0,0,0,0,0,0,0
60,10,13,182.63544943971362,0,0,0,0,0,0,0
61,11,0,224.3677709003789,0,0,0,0,0,0,0
62,14,20,152.40671055843666,0,0,0,0,0,0,0
63,12,5,153.10048962908513,0,0,0,0,0,0,0
64,16,20,141.51549039151695,0,0,0,0,0,0,0
65,22,13,115.3120571503382,0,0,0,0,0,0,0
66,20,16,136.04369613084222,0,0,0,0,0,0,0
67,16,18,140.50419418496625,0,0,0,0,0,0,0
68,18,16,234.56914313665752,0,0,0,0,0,0,0
69,20,19,156.33705321679534,0,0,0,0,0,0,0
70,8,13,132.3662279954011,0,0,0,0,0,0,0
71,18,11,197.95417024513233,0,0,0,0,0,0,0
72,5,19,168.3771698840677,0,0,0,0,0,0,0
73,12,9,187.4185719908704,0,0,0,0,0,0,0
74,2,10,104.03160916280794,0,0,0,0,0,0,0
75,0,13,144.24462706899806,0,0,0,0,0,0,0
76,22,9,147.24898825489723,0,0,0,0,0,0,0
77,0,9,201.461915190424,0,0,0,0,0,0,0
78,3,17,204.6943385192567,0,0,0,0,0,0,0
79,4,15,114.15283991863141,0,0,0,0,0,0,0
